Issuer,Symbol,Manager1,IPOPrice,OpenPrice,ClosePrice,PxChng,OpeningChng,Ratings,Performed
Shine Media Acquisition ,SHND-U,Merriman Curhan Ford,6,6,6.15,2.5,0,1,
Universal Power Group ,UPG,Ladenburg Thalmann,7.35,7.15,7.35,0,-0.2,1,
Freedom Acquisition Holdings ,FRH-U,Citigroup,10,10,10,0,0,1,
Celanese ,CE,Morgan Stanley,16,16,16,0,0,1,
ViaCell ,VIAC,Credit Suisse,7,11,8.69,24.14,4,2,
Education Realty Trust ,EDR,JP Morgan,16,16.25,16.45,2.81,0.25,1,
GFI Group ,GFIG,Citigroup,21,24.99,26.44,25.9,3.99,3,
optionsXpress ,OXPS,Goldman Sachs,16.5,23,20.3,23.03,6.5,3,
Dollar Financial ,DLLR,Piper Jaffray,16,17.06,16,0,1.06,2,
W&T Offshore ,WTI,Lehman Brothers,19,19.5,18.5,-2.63,0.5,2,
DryShips ,DRYS,Cantor,18,19.8,20.2,12.22,1.8,3,
Favrille ,FVRL,Bear Stearns,7,7.15,6.8,-2.86,0.15,1,
Icagen ,ICGN,UBS Investment Bank,8,8.05,7.3,-8.75,0.05,1,
FairPoint Communications ,FRP,Morgan Stanley,18.5,18.5,18.05,-2.43,0,2,Missed
Hurray! Holding ,HRAY,Citigroup,10.25,10.26,10.25,0,0.01,3,Missed
American Reprographics ,ARP,Goldman Sachs,13,13.05,13.75,5.77,0.05,1,
Threshold Pharmaceuticals ,THLD,Banc of America,7,7.02,7.14,2,0.02,1,
GRAVITY Co. Ltd .,GRVY,Credit Suisse,13.5,13.76,12.59,-6.74,0.26,1,
FTD Group ,FTD,Goldman Sachs,13,13.9,13.6,4.62,0.9,2,
Syniverse Technologies ,SVR,Lehman Brothers,16,16,16,0,0,1,
Huntsman ,HUN,Citigroup,23,24.5,24.5,6.52,1.5,2,
Universal Truckload Services ,UACL,Stephens,20,21,22.5,12.5,1,2,
Alpha Natural Resources ,ANR,Morgan Stanley,19,22.5,22.69,19.42,3.5,2,
Wright Express,WXS,JP Morgan,18,17.5,17.7,-1.67,-0.5,1,
Dolby Laboratories,DLB,Morgan Stanley,18,23,24.3,35,5,3,
Aldabra Acquisitions,ALBAU,Morgan Joseph,6,6.2,6.3,5,0.2,1,
Ardent Acquisition,AACQU,EarlyBirdCapital,6,6.1,6.31,5.17,0.1,1,
International Securities Exchange,ISE,Bear Stearns,18,25.75,30.4,68.89,7.75,3,
PanAmSat Holding ,PA,Morgan Stanley,18,17.5,17.35,-3.61,-0.5,1,
Diana Shipping,DSX,Bear Stearns,17,17.01,17.3,1.76,0.01,3,Missed
Fastclick ,FSTC,Credit Suisse,12,14.99,12,0,2.99,3,
FreightCar America,RAIL,UBS Investment Bank,19,20.26,21.03,10.68,1.26,2,
Mercator Partners Acquisitions ,MPAQU/MPABU),HCFP,10.1,10.15,10.3,1.98,0.05,1,
PRB Gas Transportation ,PRB,Gilford Securities,5.5,7.7,7.65,39.09,2.2,2,
