Issuer,Symbol,Manager1,IPOPrice,OpenPrice,ClosePrice,PxChng,OpeningChng,Ratings,Performed
Top Tankers ,TOPT,Cantor,11,11,10.6,-3.64,0,1,
Bucyrus International ,BUCY,Goldman Sachs,18,20.15,22.5,25,2.15,2,
MannKind ,MNKD,UBS Investment Bank,14,15.49,14.08,0.57,1.49,2,
Volterra Semiconductor ,VLTR,Goldman Sachs,8,8.1,8.25,3.13,0.1,1,
MortgageIT Holdings ,MHL,UBS Investment Bank,12,12,12,0,0,1,
EnerSys ,ENS,Morgan Stanley,12.5,12.5,12.5,0,0,1,
Rightnow Technologies ,RNOW,Morgan Stanley,7,7.02,7,0,0.02,1,
Commercial Vehicle Group ,CVGI,Credit Suisse,13,13.05,13.1,0.77,0.05,1,
Syneron Medical Ltd. ,ELOS,Citigroup,12,12.02,10.75,-10.42,0.02,1,
NAVTEQ ,NVT,Credit Suisse,22,25.05,25.3,15,3.05,3,
BioMed Realty Trust,BMR,Raymond James,15,16,15.9,6,1,1,
WPT Enterprises ,WPTE,Feltl and Company,8,9.15,6.86,-14.25,1.15,1,
Kite Realty Group Trust ,KRG,Lehman Brothers,13,13,13,0,0,1,
Westlake Chemical ,WLK,Credit Suisse,14.5,14.5,14.65,1.03,0,1,
Extra Space Storage ,EXR,UBS Investment Bank,12.5,12.76,12.5,0,0.26,1,
American Campus Communities (ACC),ACC,Citigroup,17.5,17.5,17.5,0,0,1,
Archipelago Holdings ,AX,Goldman Sachs,11.5,11.5,12.3,6.96,0,1,
Stereotaxis ,STXS,Goldman Sachs,8,8,7.82,-2.25,0,1,
StoneMor Partners L.P. ,STON,Lehman Brothers,20.5,22.4,21.6,5.37,1.9,2,
Nephros ,NEP,The Shemano Group,6,6,5.85,-2.5,0,1,
Educate ,EEEE,Goldman Sachs,12.2,12.2,11.99,-1.72,0,2,Missed
Beacon Roofing Supply ,BECN,JP Morgan,13,14.51,15.99,23,1.51,1,Missed
Cogent Systems ,COGT,Morgan Stanley,12,16.02,17.98,49.83,4.02,3,
JAMDAT Mobile ,JMDT,Lehman Brothers,16,23,22.51,40.69,7,3,
51job ,JOBS,Morgan Stanley,14,18.98,21.15,51.07,4.98,2,
Primus Guaranty ,PRS,Lehman Brothers,13.5,13.5,13.5,0,0,3,Missed
Ness Technologies ,NSTC,Lehman Brothers,12,12.01,12.85,7.08,0.01,1,
CallWave ,CALL,Deutsche Bank,10,11,9.55,-4.5,1,2,
Eagle Hospitality Properties Trust ,EHP,Aegis Capital Corp,9.75,10,10.25,5.13,0.25,1,
Texas Roadhouse ,TXRH,Banc of America,17.5,21.5,22.46,28.34,4,2,
IntraLase ,ILSE,Banc of America,13,15.75,16.25,25,2.75,2,
New York & Company ,NWY,Bear Stearns,17,19,19.3,13.53,2,2,
B&G Foods Holdings,BGF,RBC Capital Markets,15,15.05,15,0,0.05,1,
Gurunet ,GRU,Maxium CapitalEarlybird Capital,5,5,5.09,1.8,0,1,
Huron Consulting Group ,HURN,UBS Investment Bank,15.5,18.5,18.9,21.94,3,2,
China Finance Online ,JRJC,JP Morgan,13,15.5,11.7,-10,2.5,3,
Interchange ,INCX,Roth Capital Partners,8,8.3,7.65,-4.38,0.3,1,
VNUS Medical Technologies,VNUS,Banc of America,15,15.5,15.04,0.27,0.5,2,
Sunstone Hotel Investors ,SHO,Citigroup,17,17,17,0,0,1,
U-Store-It Trust ,YSI,Lehman Brothers,16,17,16.5,3.13,1,1,
Shopping.com ,SHOP,Goldman Sachs,18,22.95,28.8,60,4.95,3,
FoxHollow Technologies ,FOXH,JP Morgan,14,16.25,20.4,45.71,2.25,1,Missed
GMH Communities Trust,GCT,Banc of America,12,12.05,12,0,0.05,1,
Calamos Asset Management ,CLMS,Citigroup,18,18,19.92,10.67,0,3,
eLong ,LONG,Deutsche Bank,13.5,22,14.4,6.67,8.5,3,
DreamWorks Animation SKG ,DWA,Goldman Sachs,28,39.5,38.75,38.39,11.5,3,
Build-A-Bear Workshop ,BBW,Credit Suisse,20,27,25.05,25.25,7,3,
Mechel Steel Group OAO ,MTL,UBS Investment Bank,21,21,20.5,-2.38,0,3,Missed
Rand Acquisition,RACQU,EarlyBirdCapital,6,6,6.02,0.33,0,1,
Digital Realty Trust ,DLR,Citigroup,12,12,12,0,0,1,
U.S. Shipping Partners L.P. ,USS,Citigroup,22.25,23,23.25,4.49,0.75,2,
Arlington Tankers Ltd. ,ATB,UBS Investment Bank,20,22.3,22.04,10.2,2.3,3,
MarketAxess Holdings ,MKTX,Credit Suisse,11,12.75,17.49,59,1.75,2,
"Copano Energy, LLC ",CPNO,RBC Capital Markets,20,23,23,15,3,1,Missed
China Netcom Group ,CN,Citigroup,21.82,23.85,24.9,14.12,2.03,1,Missed
Zip Realty ,ZIPR,UBS Investment Bank,13,17,16.3,25.38,4,2,
Ormat Technologies,ORA,Lehman Brothers,15,15.2,15.67,4.47,0.2,2,
Nalco Holding,NLC,Goldman Sachs,15,15.15,16.2,8,0.15,1,
InPhonic ,INPC,Deutsche Bank,19,23.01,24,26.32,4.01,2,
PRA International ,PRAI,Credit Suisse,19,21,21,10.53,2,2,
Iowa Telecommunications Services ,IWA,Morgan Stanley,19,20.58,20.8,9.47,1.58,1,
Monolithic Power Systems ,MPWR,Goldman Sachs,8.5,9.06,9.84,15.76,0.56,2,
PortalPlayer ,PLAY,Citigroup,17,25.6,25.8,51.76,8.6,3,
UAP Holdings ,UAPH,Goldman Sachs,16,16.25,16.32,2,0.25,2,
Ninetowns Digital World Trade Holdings ,NINE,JP Morgan,11,14,11.4,3.64,3,3,
CABG Medical ,CABG,Feltl,5.5,6.4,6.09,10.73,0.9,1,
Foundation Coal Holdings ,FCL,Morgan Stanley,22,23.35,21.75,-1.14,1.35,2,
OccuLogix ,RHEO,Citigroup,12,13,12,0,1,2,
SYMMETRY Medical ,SMA,Banc of America,15,17.25,18.6,24,2.25,2,
First State Financial ,FSTF,Advest,12,12.75,12.72,6,0.75,3,Missed
Bill Barrett ,BBG,Goldman Sachs,25,27.5,29.05,16.2,2.5,3,
HouseValues ,SOLD,Credit Suisse,15,18,15.74,4.93,3,3,
Adeza Biomedical ,ADZA,UBS Investment Bank,16,17,19.7,23.13,1,2,
Conor Medsystems ,CONR,Citigroup,13,13.1,13.26,2,0.1,2,Missed
Orange 21 ,ORNG,Roth Capital Partners,8.75,9.65,10,14.29,0.9,2,
BlueLinx Holdings ,BXC,Goldman Sachs,13.5,13.5,13.5,0,0,1,
Knoll ,KNL,Goldman Sachs,15,16.3,17.1,14,1.3,2,
Cascade Microtech ,CSCD,Lehman Brothers,14,14.43,13.75,-1.79,0.43,2,
Great Wolf Resorts ,WOLF,Citigroup,17,22.5,21,23.53,5.5,2,
Las Vegas Sands ,LVS,Goldman Sachs,29,41.9,46.56,60.55,12.9,3,
The9 Limited ,NCTY,Bear Stearns,17,19,21,23.53,2,2,
Spirit Finance ,SFC,Banc of America,11,12.05,12.4,12.73,1.05,1,Missed
Interline Brands ,IBI,Credit Suisse,15,15,17.3,15.33,0,2,
Advance America Cash Advance ,AEA,Morgan Stanley,15,20.5,20.5,36.67,5.5,3,
Warren Resources ,WRES,KeyBanc Capital Markets,7.5,10,9.2,22.67,2.5,2,Missed
Bancshares of Florida,BOFL,Advest,10,10.5,10.19,1.86,0.5,1,
Infinity Property & Casualty ,IPCC,Credit Suisse,16,16,15.9,-0.62,0,1,
Endurance Specialty Holdings,ENH,Goldman Sachs,23,23.01,23,0,0.01,1,
Telkom SA ,TKG,Deutsche Bank,13.98,14.1,13.9,-0.57,0.12,1,
iPayment ,IPMT,Bear Stearns,16,19.3,21.02,31.38,3.3,2,
Redline Performance Products ,RED,GunnAllen Financial,4.5,4.5,4.5,0,0,1,
FormFactor,FORM,Morgan Stanley,14,19,17.58,25.57,5,3,
Maguire Properties ,MPG,Credit Suisse,19,19,19,0,0,1,
American Financial Realty Trust ,AFR,Banc of America,12.5,14.25,14.25,14,1.75,2,
Molina Healthcare ,MOH,Banc of America,17.5,21,20,14.29,3.5,3,
AXIS Capital Holdings Limited ,AXS,Morgan Stanley,22,25.5,25.55,16.14,3.5,3,
iPass ,IPAS,Morgan Stanley,14,14,18.67,33.36,0,3,
NETGEAR,NTGR,Lehman Brothers,14,19.15,17.69,26.36,5.15,3,
Citadel Broadcasting ,CDL,Goldman Sachs,19,20.75,20.65,8.68,1.75,3,
CapitalSource,CSE,Credit Suisse,14.5,16.95,18.2,25.52,2.45,3,
Texas Capital Bancshares ,TCBI,Lehman Brothers,11,11.89,11.99,9,0.89,2,
Providence Service ,PRSC,SunTrust Robinson Humphrey,12,13.25,14,16.67,1.25,3,
National Financial Partners ,NFP,Goldman Sachs,23,26.25,26.25,14.13,3.25,3,
Journal Co. ,JRN,Morgan Stanley,15,16.1,16.25,8.33,1.1,3,
AMIS Holdings,AMIS,Credit Suisse,20,21.06,20.1,0.5,1.06,3,
Anchor Glass Container ,AGCC,Credit Suisse,16,15.9,16.8,5,-0.1,3,Missed
DigitalNet Holdings ,DNET,Citigroup,17,19.66,20.96,23.29,2.66,2,
Advancis Pharmaceutical ,AVNC,Lehman Brothers,10,10.01,10,0,0.01,1,
Carter's,CRI,Goldman Sachs,19,24.05,24.65,29.74,5.05,2,
CancerVex,CNVX,Lehman Brothers,12,12.01,12,0,0.01,2,Missed
Centennial Specialty Foods ,CHLE,JP Turner,5,4.5,4.4,-12,-0.5,1,
Myogen,MYOG,Credit Suisse,14,14.3,14.9,6.43,0.3,2,
First Marblehead ,FMD,Goldman Sachs,16,18.5,22.15,38.44,2.5,3,
Overnite ,OVNT,Credit Suisse,19,21.55,22.16,16.63,2.55,3,
NitroMed ,NTMD,Deutsche Bank,11,11.44,9.29,-15.55,0.44,2,Missed
Pharmion ,PHRM,Morgan Stanley,14,14.6,14,0,0.6,2,Missed
Quality Distribution,QLTY,Credit Suisse,17,20.36,18.75,10.29,3.36,3,
Marlin Business Services ,MRLN,US Bancorp Piper Jaffray,14,15.59,16.15,15.36,1.59,3,
Tessera Technologies ,TSRA,Lehman Brothers,13,15.09,18.5,42.31,2.09,2,
LECG,XPRT,UBS Investment Bank,17,22.01,21.03,23.71,5.01,2,
Callidus Software ,CALD,Citigroup,14,17.2,17.37,24.07,3.2,2,
Buffalo Wild Wings ,BWLD,RBC Capital Markets,17,21.8,22.95,35,4.8,3,
Nexstar Broadcasting Group ,NXST,Banc of America,14,13.98,13.25,-5.36,-0.02,2,Missed
SIRVA ,SIR,Credit Suisse,18.5,18.5,18.1,-2.16,0,3,Missed
SYNNEX ,SNX,Bear Stearns,14.5,14.15,14.2,-2.07,-0.35,3,Missed
Pinnacle Airlines ,PNCL,Morgan Stanley,14,14.01,14.05,0.36,0.01,3,
Conn's ,CONN,Stephens,14,15.13,15.04,7.43,1.13,2,
Open Solutions ,OPEN,Bear Stearns,17,19,18.66,9.76,2,3,
Aspen Insurance Holdings ,AHL,Credit Suisse,22.5,25,24.05,6.89,2.5,3,
NPTest Holdings ,NPTT,Citigroup,12,11.6,11.49,-4.25,-0.4,2,Missed
Nelnet ,NNI,JP Morgan,21,22.05,21.8,3.81,1.05,3,
Natural Golf,NAX,Gilford Securities,5,5.05,5,0,0.05,1,
Compass Mineral International ,CMP,Goldman Sachs,13,13,13.75,5.77,0,2,
Central Freight Lines ,CENF,Bear Stearns,15,16.2,17.35,15.67,1.2,2,
China Life Insurance,LFC,Citigroup,18.68,23.25,23.72,26.98,4.57,2,
International Steel Group ,ISG,Goldman Sachs,28,33.5,35.2,25.71,5.5,2,
Orbitz ,ORBZ,Goldman Sachs,26,30,24.98,-3.92,4,3,
Universal Technical Institute ,UTI,Credit Suisse,20.5,24.5,26.35,28.54,4,2,
Knology,KNOL,UBS Investment Bank,9,9.1,9.38,4.22,0.1,1,
Tempur-Pedic International,TPX,Lehman Brothers,14,14,15.5,10.71,0,2,
Synaptics,SYNA,Bear Stearns,11,13.11,13.11,19.18,2.11,2,
ZymoGenetics ,ZGEN,Lehman Brothers,12,12.01,12.05,0.42,0.01,1,
Carolina Group (Loews Corp.) ,CG,Salomon Smith Barney,28,30.05,29.1,3.93,2.05,3,
Sunoco Logistics Partners ,SXL,Lehman Brothers,20.25,21.25,22.1,9.14,1,3,
ManTech International,MANT,Jefferies,16,17.1,18.21,13.81,1.1,3,
Wimm Bill Dann Foods ,WBD,ING Barings,19.5,22,22.6,15.9,2.5,2,
GameStop ,GME,Salomon Smith Barney,18,19.5,20.1,11.67,1.5,3,
PayPal,PYPL,Salomon Smith Barney,13,15.41,20.09,54.54,2.41,3,
Integrated Defense ,IDE,Credit Suisse,22,26.75,25,13.64,4.75,3,
Tsakos Energy Navigation ,TNP,JP Morgan,15,15.9,15.1,0.67,0.9,1,
Anteon International ,ANT,Goldman Sachs,18,21,20.05,11.39,3,3,
Asbury Automotive Group ,ABG,Goldman Sachs,16.5,16.9,16.8,1.82,0.4,3,Missed
Alcon ,ACL,Credit Suisse,33,33.9,34,3.03,0.9,3,
Travelers Property Casualty,TAP.A,Salomon Smith Barney,18.5,19.55,19.56,5.73,1.05,3,
MedSource Technologies ,MEDT,Morgan Stanley,12,12.51,13,8.33,0.51,1,
Empire Financial Holding,EFH,Keefe Bruyette,6,6,5.35,-10.83,0,1,
JetBlue Airways ,JBLU,Morgan Stanley,27,37.52,45,66.67,10.52,3,
ExpressJet Holdings ,XJT,Salomon Smith Barney,16,17.1,16,0,1.1,3,
Medical Staffing Network Holdings ,MRN,Lehman Brothers,19,23,21.5,13.16,4,3,
Premcor ,PCO,Morgan Stanley,24,27.75,28.25,17.71,3.75,3,
LIN TV ,TVL,Deutsche Bank,22,23,25,13.64,1,3,
Quinton Cardiology Systems ,QUIN,Adams Harkness,7,7.5,7.19,2.71,0.5,1,
Regal Entertainment Group ,RGC,Credit Suisse,19,22,21.75,14.47,3,2,
Verint Systems ,VRNT,Lehman Brothers,16,16.1,14.49,-9.44,0.1,2,Missed
Dickie Walker Marine ,DWMA,Schneider Securities,5,5.26,5.32,6.4,0.26,1,
Aeropostale ,ARO,Bear Stearns,18,24.9,27.75,54.17,6.9,3,
Kyphon ,KYPH,US Bancorp Piper Jaffray,15,18.31,17.05,13.67,3.31,2,
Computer Programs and Systems,CPSI,Morgan Keegan,16.5,17.5,18.12,9.82,1,2,
Altiris ,ATRS,Credit Suisse,10,9,8.87,-11.3,-1,2,Missed
Eon Labs ,ELAB,Credit Suisse,15,15.01,15.05,0.33,0.01,3,Missed
SRA International ,SRX,Salomon Smith Barney,18,22.25,22.7,26.11,4.25,3,
Plumtree Software ,PLUM,Goldman Sachs,8.5,9.61,8.5,0,1.11,2,
Veridian ,VNX,Credit Suisse,16,18,18.15,13.44,2,3,
Pacer International,PACR,Credit Suisse,15,15,15.95,6.33,0,3,Missed
CTI Molecular Imaging ,CTMI,Credit Suisse,17,17.35,19.5,14.71,0.35,2,
Big 5 Sporting Goods ,BGFV,Credit Suisse,13,13.01,13.17,1.31,0.01,1,
Hewitt Associates ,HEW,Goldman Sachs,19,22,23.5,23.68,3,3,
Inveresk Research Group ,IRGI,Bear Stearns,13,13.01,13.01,0.08,0.01,1,
CIT Group ,CIT,Goldman Sachs,23,23,22,-4.35,0,1,
Red Robin Gourmet Burgers ,RRGB,Banc of America,12,12.26,12.22,1.83,0.26,1,
Pacific Energy Partners,PPX,Salomon Smith Barney,19.5,19.5,19,-2.56,0,1,
Montpelier Re Holdings ,MRH,Morgan Stanley,20,22,23.5,17.5,2,1,Missed
Newcastle Investment ,NCT,Bear Stearns,13,13,12.5,-3.85,0,1,
Natural Resource Partners ,NRP,Salomon Smith Barney,20,20,19.4,-3,0,2,Missed
Enbridge Energy Management LLC ,EEQ,Goldman Sachs,39,38.25,36.99,-5.15,-0.75,1,
Wynn Resorts ,WYNN,Deutsche Bank,13,13.01,13.01,0.08,0.01,1,
Martin Midstream Partners LP ,MMLP,Raymond James,19,19,17.7,-6.84,0,1,
Harrington West Financial Group ,HWFG,RBC Capital Markets,12,11.9,12.2,1.67,-0.1,2,Missed
WellChoice ,WC,Credit Suisse,25,28.5,27.2,8.8,3.5,3,
China Telecom ,CHA,Morgan Stanley,18.98,18.75,17.96,-5.37,-0.23,1,
Constar International ,CNST,Salomon Smith Barney,12,12,11.85,-0.0125,0,1,
Safety Insurance Group ,SAFT,Credit Suisse,12,12.05,12.9,7.5,0.05,1,
Chicago Mercantile Exchange ,CME,Morgan Stanley,35,39,42.9,22.57,4,3,
Seagate Technology Holdings ,STX,Morgan Stanley,12,11.5,11.5,-4.17,-0.5,1,
Crosstex Energy LP,XTEX,Aegis Capital Corp,20,20.1,20.1,0.5,0.1,1,
VistaCare ,VSTA,Lehman Brothers,12,13.05,15.05,25.42,1.05,2,
Align Technology ,ALGN,Deutsche Bank,13,14.75,17.31,33.17,1.75,1,
ATP Oil & Gas ,ATPG,Lehman Brothers,14,14.06,14,0,0.06,1,
Williams Energy Partners ,WEG,Lehman Brothers,21.5,24,24,11.63,2.5,2,
Third Wave Tech ,TWTI,Lehman Brothers,11,11,11.06,0.57,0,1,
AquaCell Technologies ,AQA,Somerset Financial,5,5,5,0,0,1,
GMX Resources ,GMXR/GMXRW,Paulson,8,7.75,8,0,-0.25,1,
Stelmar Shipping,SJH,Jefferies,12,12.25,12.25,2.08,0.25,3,Missed
Shamrock Logistics,UDL,Goldman Sachs,24.5,27.55,28,14.29,3.05,3,
Aquila ,ILA,Lehman Brothers,24,29.75,27.85,16.04,5.75,3,
Reliant Resources ,RRI,Goldman Sachs,30,34,33,10,4,4,
Simplex Solutions ,SPLX,Credit Suisse,12,15.15,21.2,76.67,3.15,2,
TASER International ,TASRU,Paulson Investment,13,12.5,12.83,-1.31,-0.5,1,
Kinder Morgan Management,KMR,Goldman Sachs,70.41,70.75,70.5,0.13,0.34,3,Missed
Instinet Group LLC ,INET,Credit Suisse,14.5,17,17.65,21.72,2.5,4,
Global Power Equip. Group ,GEG,Credit Suisse,20,29.5,31.45,57.25,9.5,3,
Peabody Energy,BTU,Lehman Brothers,28,36,36.8,31.43,8,3,
Unilab,ULAB,Salomon Smith Barney,16,21.5,23,43.75,5.5,4,
Alliance Data Systems ,ADS,Bear Stearns,12,13.19,14,16.67,1.19,3,
United Surgical Partners ,USPI,Credit Suisse,14,15.11,18.12,29.43,1.11,3,
General Maritime,GMR,Lehman Brothers,18,18,16.75,-6.94,0,3,Missed
Willis Group Holdings,WSH,Salomon Smith Barney,13.5,16.5,16.6,22.96,3,3,
Kraft Foods,KFT,Credit Suisse,31,31.5,31.25,0.81,0.5,4,Missed
Odyssey Re Holdings ,ORH,Banc of America,18,17.8,17.2,-4.44,-0.2,3,Missed
Multilink Technology ,MLTC,Credit Suisse,9,9.5,11.9,32.22,0.5,2,
Galyan's Trading ,GLYN,Goldman Sachs,19,20,20.47,7.74,1,3,
Monolithic System Technology,MOSY,Aegis Capital Corp,10,10.01,11.22,12.2,0.01,2,
Wright Medical Group,WMGI,JP Morgan,12.5,15.31,15.61,24.88,2.81,2,
Accenture ,ACN,Goldman Sachs,14.5,15.1,15.17,4.62,0.6,3,Missed
Natus Medical ,BABY,Deutsche Bank,11,11.5,14.45,31.36,0.49,3,
MedCath,MDTH,Deutsche Bank,25,25.01,25.87,3.48,0.01,3,Missed
Inergy LP ,NRGY,Aegis Capital Corp,22,23.26,23,4.55,1.26,3,
Alliance Imaging ,AIQ,Deutsche Bank,13,13,13.15,1.15,0,1,
PDF Solutions ,PDFS,Credit Suisse,12,13.4,15.15,26.25,1.4,2,
Bunge ,BG,Morgan Stanley,16,16,16,0,0,2,Missed
Omnicell,OMCL,US Bancorp Piper Jaffray,7,7.2,9.51,35.86,0.2,2,
Intier Automotive,IAIA,BMN Nesbitt Burns,13.72,13.7,14,2.04,-0.02,2,Missed
Mykrolis ,MYK,Banc of America,15,17.25,16.25,8.33,2.25,2,
Max Re Capital,MXRE,Morgan Stanley,16,15.8,15.5,-3.13,-0.2,1,
Given Imaging,GIVN,Lehman Brothers,12,12.46,12.47,3.92,0.46,2,Missed
TheraSense,THER,US Bancorp Piper Jaffray,19,24.25,24.92,31.16,5.25,2,
Principal Financial Group ,PFG,Goldman Sachs,18.5,20.5,21,13.51,2,2,
Penn Virginia Resources Partners,PVR,Lehman Brothers,21,22.75,22.7,8.1,1.75,3,
Anthem ,ATH,Goldman Sachs,36,40.5,40.9,13.61,4.5,3,
AMERIGROUP,AMGP,Banc of America,17,17.29,20.9,22.94,0.29,3,
Advisory Board (The) ,ABCO,Credit Suisse,19,22.55,24.25,27.63,3.55,3,
AMN Healthcare Services ,AHS,Banc of America,17,21,21.66,27.41,4,3,
Fisher & Paykel HealthCare ,FPHC,Deutsche Bank,18,21.55,22.95,27.5,3.55,2,
dj Orthopedics ,DJO,Goldman Sachs,17,17,15.25,-10.29,0,3,Missed
BAM! Entertainment  ,BFUN,Jefferies,8,8.6,8.71,8.88,0.6,2,
Weight Watchers International ,WTW,Credit Suisse,24,29.75,29.5,22.92,5.75,3,
Diversity Security Group,DVS,GunnAllen Financial,7,7.25,8.14,16.29,0.25,1,Missed
microHelix,MHLXU,Paulson Investment,6,5.8,5.85,-2.5,-0.2,1,
Magma Design Automation ,LAVA,Credit Suisse,13,18.25,18.99,46.08,5.25,3,
MedicalCV ,MDCVU,EarlyBirdCapital,4.5,4.5,4,-11.11,0,1,
VCA Antech ,WOOF,Credit Suisse,10,9.1,9.34,-6.6,-0.9,1,
Aluminum Corp of China (Chalco) ,ACH,Morgan Stanley,17.69,18.4,18.27,3.28,0.71,1,
Lawson Software,LWSN,Lehman Brothers,14,15.53,15.82,13,1.53,2,
ARAMARK Worldwide ,RMK,Goldman Sachs,23,26,25.4,10.43,3,3,
NetScreen Thecnologies ,NSCN,Goldman Sachs,16,23.76,23.72,48.25,7.76,3,
United Defense Industries,UDI,Lehman Brothers,19,20.1,19.27,1.42,1.1,3,
Sequoia Software ,SQSW,Lehman Brothers,8,10.25,10.06,25.78,2.25,2,
US Unwired,UNWR,Deutsche Bank,11,11.03,11.06,0.57,0.03,1,
New Focus ,NUFO,Credit Suisse,20,40,51,155,20,3,
PixelWorks ,PXLW,Salomon Smith Barney,10,11.25,10.89,8.91,1.25,3,
Integrated Circuit Systems ,ICST,Credit Suisse,13,13,12,-7.69,0,1,
Centillium Communications ,CTLM,Credit Suisse,19,20.25,22.88,20.39,1.25,3,
Stanford Microdevices ,SMDI,Deutsche Bank,12,12,13.75,14.58,0,3,
NRG Energy ,NRG,Salomon Smith Barney,15,15.88,16.63,10.83,0.88,2,
UbiquiTel ,UPCS,Deutsche Bank,8,7.94,7.69,-3.91,-0.06,1,
Intuitive Surgical ,ISRG,Lehman Brothers,9,9,9.03,0.35,0,1,
Take To Auction ,TTA,Noble International Investments,8,7.81,8.5,6.25,-0.19,1,
August Technology,AUGT,Needham,12,15.25,15.19,26.56,3.25,2,
OSCA ,OSCA,Salomon Smith Barney,15.5,17,17.63,13.71,1.5,3,
Dendreon,DNDN,Prudential Vector Healthcare,10,10.03,9.69,-3.13,0.03,1,
Silverline Technologies ,SLT,Salomon Smith Barney,25,30.5,32,28,5.5,1,
Handspring ,HAND,Credit Suisse,20,27,26.94,34.69,7,2,
ClickSoftware ,CKSW,Lehman Brothers,7,7,7,0,0,1,
Charles River Laboratories ,CRL,Deutsche Bank,16,19.5,22,37.5,3.5,4,
Accelerated Networks ,ACCL,Credit Suisse,15,33,47.88,219.17,18,2,
Manufacturers Services  ,MSV,Deutsche Bank,16,20.75,21.25,32.81,4.75,3,
QualStar ,QBAK,First Van Kasper,7,7.56,7.72,10.27,0.56,1,
eFunds ,EFDS,Lehman Brothers,13,13.03,13,0,0.03,1,
Stratos Lightwave ,STLW,Lehman Brothers,21,50,34.13,62.5,29,4,
CareScience  ,CARE,Deutsche Bank,12,11.25,10.02,-16.54,-0.75,1,
Virage ,VRGE,Credit Suisse,11,14.5,16.88,53.41,3.5,3,
Mobile Telesystems,MBT,Deutsche Bank,21.5,21.5,22.38,4.07,0,3,Missed
Mobility Electronics ,MOBE,Deutsche Bank,12,13,13,8.33,1,3,
InfoVista SA ,IVTA,Lehman Brothers,12.23,15.5,30.5,149.39,3.27,3,
Turkcell ,TKC,Goldman Sachs,17.6,18,17.63,0.14,0.4,2,
Sohu.com ,SOHU,Credit Suisse,13,13.31,13,0,0.31,1,
Network Engines  ,NENG,Deutsche Bank,17,28,29,70.59,11,4,
Triton Network Systems ,TNSI,Credit Suisse,15,35,38.88,159.17,20,3,
Support.com ,SPRT,Credit Suisse,14,25.5,32.63,133.04,11.5,3,
Airspan Networks ,AIRN,Credit Suisse,15,41.5,31.94,112.92,26.5,5,
Vascular Solutions  ,VASC,Salomon Smith Barney,12,16,16.19,34.9,4,2,
SMTC ,SMTX,Lehman Brothers,16,21,25.38,58.59,5,2,
Talarian ,TALR,Lehman Brothers,14,25.88,22.75,62.5,11.88,5,
Variagenics ,VGNX,Credit Suisse,14,22.75,24.5,75,8.75,3,
Interland ,ILND,Bear Stearns,12,10.75,8.94,-25.52,-1.25,3,Missed
Evoke ,EVOK,Salomon Smith Barney,8,7.88,8.13,1.56,-0.13,1,
RITA Medical Systems ,RITA,Salomon Smith Barney,12,13.06,14.38,19.79,1.06,2,
ValiCert ,VLCT,Deutsche Bank,10,10,11.88,18.75,0,3,
Arena Pharmaceuticals ,ARNA,ING Barings,18,24,25,38.89,6,2,
Corvis ,CORV,Credit Suisse,36,74,84.72,135.33,38,4,
Lexent ,LXNT,Credit Suisse,15,20,25.56,70.42,5,3,
Virage Logic ,VIRL,Lehman Brothers,12,12.06,12.44,3.65,0.06,3,Missed
Tripath Technology ,TRPH,Salomon Smith Barney,10,9.75,10.06,0.63,-0.25,1,
Western Multiplex ,WMUX,Salomon Smith Barney,12,13.5,14,16.67,1.5,3,
eRoom System Technologies ,ERMS,Deutsche Bank,6.5,6.38,6.13,-5.77,-0.13,1,
Genaissance Pharmaceuticals,GNSC,Deutsche Bank,13,15,16.13,24.04,2,3,
California Pizza Kitchen ,CPKI,Banc of America,15,20,20.25,35,5,2,
Entravision Communications ,EVC,Deutsche Bank,16.5,18.63,19,15.15,2.13,2,
Floware Wireless Systems ,FLRE,Credit Suisse,13,18.5,18.14,39.54,5.5,3,
iAsiaWorks ,IAWK,Goldman Sachs,13,10.5,9.5,-26.92,-2.5,3,Missed
Screaming Media.com ,SCRM,Credit Suisse,12,11.13,10.5,-12.5,-0.88,3,Missed
Versicor ,VERS,Lehman Brothers,11,11.03,9.91,-9.94,0.03,3,Missed
Deltagen ,DGEN,Salomon Smith Barney,15,18,19,26.67,3,3,
Rosetta Inpharmatics ,RSTA,Lehman Brothers,14,16.25,17.88,27.68,2.25,3,
Inspire Phamaceuticals ,ISPH,Deutsche Bank,14.25,18,18.5,29.82,3.75,2,
SignalSoft ,SGSF,Salomon Smith Barney,17,25,21.88,28.68,8,3,
EXE Technologies ,EXEE,Deutsche Bank,8,8.03,8.13,1.56,0.03,1,
Lantronix ,LTRX,Deutsche Bank,10,8.5,8,-20,-1.5,1,
3-Dimentional Pharmaceuticals,DDDP,Bear Stearns,15,19,19.13,27.5,4,2,
Microtune,TUNE,Goldman Sachs,16,27,30.13,88.28,11,4,
Advanced Power Technology ,APTI,Stephens,15,16,17,13.33,1,3,
AOL  Latin America ,AOLA,Salomon Smith Barney,8,7.94,8.44,5.47,-0.06,1,
Pemstar ,PMTR,Lehman Brothers,11,11.38,13.5,22.73,0.38,4,
Mind C.T.I. Ltd ,MNDO,Lehman Brothers,10,10,10,0,0,1,
Tvia ,TVIA,Banc of America Securities,11,11,11,0,0,3,Missed
ChipPAC ,CHPC,Credit Suisse,12,12.5,13,8.33,0.5,3,
